"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Prince Edward Island","Kings",1101,17840,18420,0.968512486427796
"2","Prince Edward Island","Prince",1103,43185,44120,0.978807796917498
"3","Prince Edward Island","Queens",1102,68125,71665,0.950603502407033
