"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Nunavut","Baffin",6204,130,15665,0.00829875518672199
"2","Nunavut","Keewatin",6205,30,8305,0.00361228175797712
"3","Nunavut","Kitikmeot",6208,30,5355,0.00560224089635854
